id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,tt1399103,Transformers: Dark of the Moon,Transformers: Dark of the Moon,2011,154.0,"Action,Adventure,Sci-Fi"
65,2017-06-09,The Mummy,195000000.0,80101125.0,409953905.0,tt2345759,The Mummy,The Mummy,2017,110.0,"Action,Adventure,Fantasy"
44,1999-05-07,The Mummy,80000000.0,155385488.0,416385488.0,tt2345759,The Mummy,The Mummy,2017,110.0,"Action,Adventure,Fantasy"
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,tt1351685,Jack the Giant Slayer,Jack the Giant Slayer,2013,114.0,"Adventure,Fantasy"
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,tt1408101,Star Trek Into Darkness,Star Trek Into Darkness,2013,132.0,"Action,Adventure,Sci-Fi"
69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,tt0816711,World War Z,World War Z,2013,116.0,"Action,Adventure,Horror"
70,2013-05-10,The Great Gatsby,190000000.0,144840419.0,351040419.0,tt1343092,The Great Gatsby,The Great Gatsby,2013,143.0,"Drama,Romance"
100,1974-03-29,The Great Gatsby,7000000.0,26533200.0,26533200.0,tt1343092,The Great Gatsby,The Great Gatsby,2013,143.0,"Drama,Romance"
72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,tt1663662,Pacific Rim,Pacific Rim,2013,131.0,"Action,Adventure,Sci-Fi"
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,tt1979388,The Good Dinosaur,The Good Dinosaur,2015,93.0,"Adventure,Animation,Comedy"
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,tt1217209,Brave,Brave,2012,93.0,"Adventure,Animation,Comedy"
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,tt8358722,Brave,Brave,2014,,Drama
