tmdb_id,tconst,primary_title,original_title,movie,runtime_minutes,genres,genre_ids,averagerating,numvotes,release_date_x,release_date_y,vote_average,vote_count,popularity,domestic_gross,production_budget,worldwide_gross
269149,tt2948356,Zootopia,Zootopia,Zootopia,108.0,"Adventure,Animation,Comedy","[16, 12, 10751, 35]",8.0,383446,2016-03-04,2016-03-04,7.7,9977,27.549,341268248,150000000,1019429616
379441,tt2950418,Greater,Greater,Greater,130.0,"Biography,Family,Sport","[10751, 18]",7.2,3438,2016-08-26,2016-08-26,7.3,37,1.891,2000093,9000000,2000093
244534,tt2955096,Happy Christmas,Happy Christmas,Happy Christmas,82.0,"Comedy,Drama","[35, 18]",5.5,7217,2014-07-25,2014-06-26,5.1,95,5.767,30312,70000,30312
254024,tt2967008,The Face of an Angel,The Face of an Angel,The Face of an Angel,101.0,"Crime,Drama","[18, 53]",4.6,4211,2015-04-24,2015-03-27,5.0,94,6.495,0,26000000,0
268920,tt2967224,Hot Pursuit,Hot Pursuit,Hot Pursuit,87.0,"Action,Comedy,Crime","[28, 35, 80]",5.1,44723,2015-05-08,2015-05-08,5.6,1000,9.607000000000001,34580201,35000000,45671512
256092,tt2968804,Drive Hard,Drive Hard,Drive Hard,92.0,"Action,Comedy,Crime","[28, 35, 80]",4.4,3907,2014-10-03,2014-10-03,4.0,94,6.957000000000001,0,12000000,0
258509,tt2974918,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,92.0,"Adventure,Animation,Comedy","[12, 16, 35, 10751]",5.1,14507,2015-12-18,2015-12-18,5.8,852,14.972999999999999,85886987,90000000,249517956
238636,tt2975578,The Purge: Anarchy,The Purge: Anarchy,The Purge: Anarchy,103.0,"Action,Horror,Sci-Fi","[27, 53]",6.5,126203,2014-07-18,2014-07-18,6.6,3754,28.424,71562550,9000000,111534881
209112,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,151.0,"Action,Adventure,Fantasy","[28, 12, 14]",6.5,576909,2016-03-25,2016-03-25,5.8,11991,28.088,330360194,250000000,867500281
227735,tt2978462,Dolphin Tale 2,Dolphin Tale 2,Dolphin Tale 2,107.0,"Drama,Family","[10751, 18]",6.4,7579,2014-09-12,2014-09-12,6.7,173,7.403,42024533,36000000,57824533
270010,tt2980210,A Hologram for the King,A Hologram for the King,A Hologram for the King,98.0,"Comedy,Drama,Romance","[35, 18]",6.1,36062,2016-04-22,2016-04-22,5.9,589,11.055,4212494,35000000,11846010
266856,tt2980516,The Theory of Everything,The Theory of Everything,The Theory of Everything,123.0,"Biography,Drama,Romance","[18, 10749]",7.7,361534,2014-11-07,2014-11-26,7.9,6412,13.866,35893537,15000000,123327692
228194,tt2980648,The Hundred-Foot Journey,The Hundred-Foot Journey,The Hundred-Foot Journey,122.0,"Comedy,Drama",[18],7.3,69562,2014-08-08,2014-08-08,7.3,785,8.26,54235441,22000000,94270488
300706,tt2980708,Let's Kill Ward's Wife,Let's Kill Ward's Wife,Let's Kill Ward's Wife,82.0,"Comedy,Crime",[35],5.4,5164,2015-01-09,2014-12-23,5.6,96,7.157,0,5000000,0
244506,tt2994190,Camp X-Ray,Camp X-Ray,Camp X-Ray,117.0,"Drama,War",[18],6.9,36700,2014-10-17,2014-10-17,6.8,618,15.237,9837,1000000,101053
256917,tt3007512,The Water Diviner,The Water Diviner,The Water Diviner,111.0,"Drama,History,War","[10752, 18]",7.1,66595,2015-04-24,2015-04-24,6.8,682,11.479000000000001,4200117,22500000,31054727
360799,tt3013160,Alien Arrival,Arrowhead,Arrowhead,95.0,"Action,Adventure,Sci-Fi","[28, 12, 9648, 878]",4.5,1843,2017-06-16,2017-06-23,4.9,58,3.552,0,180000,0
274862,tt3014284,The Lego Ninjago Movie,The Lego Ninjago Movie,The Lego Ninjago Movie,101.0,"Action,Adventure,Animation","[28, 16, 12, 10751]",6.0,18926,2017-09-22,2017-09-22,6.3,424,14.607000000000001,59281555,70000000,122737201
302156,tt3014866,Criminal,Criminal,Criminal,113.0,"Action,Crime,Drama","[28, 80, 878, 53, 9648, 18]",6.3,51666,2016-04-15,2016-04-15,5.9,897,13.651,14708696,31500000,38771262
202604,tt3043194,The Vatican Exorcisms,The Vatican Exorcisms,The Vatican Exorcisms,76.0,Horror,"[27, 99, 9648]",2.5,413,2013-12-31,2013-05-29,4.2,14,0.8190000000000001,0,1100000,0
210860,tt3045616,Mortdecai,Mortdecai,Mortdecai,107.0,"Action,Comedy,Crime","[35, 12]",5.5,61366,2015-01-23,2015-01-23,5.4,1666,13.263,7696134,60000000,30396134
207932,tt3062096,Inferno,Inferno,Inferno,121.0,"Action,Adventure,Crime","[9648, 53, 18]",6.2,138978,2016-10-28,2016-10-28,5.9,3877,17.41,34343574,75000000,219519367
207932,tt3219106,Inferno,Inferno,Inferno,113.0,Drama,"[9648, 53, 18]",6.3,183,2016-10-28,2016-10-28,5.9,3877,17.41,34343574,75000000,219519367
325348,tt3072482,Hardcore Henry,Hardcore Henry,Hardcore Henry,96.0,"Action,Adventure,Sci-Fi","[28, 12, 878]",6.7,78226,2016-04-08,2016-04-06,6.2,1294,10.459000000000001,9252038,2000000,17187434
245168,tt3077214,Suffragette,Suffragette,Suffragette,106.0,"Biography,Drama,History","[18, 36]",6.9,34306,2015-10-23,2015-10-23,7.3,982,7.763,4702420,14000000,34044909
262841,tt3095734,Monster Trucks,Monster Trucks,Monster Trucks,104.0,"Action,Adventure,Comedy","[28, 35, 878]",5.7,13525,2017-01-13,2017-01-13,5.9,414,8.827,33370166,125000000,61642798
246403,tt3099498,Tusk,Tusk,Tusk,102.0,"Comedy,Drama,Horror","[35, 27, 18, 53]",5.3,40827,2014-09-19,2014-09-19,5.3,601,8.655,1821983,3000000,1887554
370464,tt3103166,The Masked Saint,The Masked Saint,The Masked Saint,105.0,"Action,Biography,Crime","[80, 28]",4.6,559,2016-01-08,2016-01-08,3.5,16,1.42,182695,3500000,182695
278316,tt3104930,Da Sweet Blood of Jesus,Da Sweet Blood of Jesus,Da Sweet Blood of Jesus,123.0,"Comedy,Romance,Thriller","[53, 35, 10749, 18]",4.1,1212,2015-01-13,2014-06-22,4.6,33,2.6069999999999998,0,1250000,0
455207,tt3104988,Crazy Rich Asians,Crazy Rich Asians,Crazy Rich Asians,120.0,"Comedy,Romance","[35, 18, 10749]",7.0,96617,2018-08-15,2018-08-15,7.1,1496,17.969,174532921,30000000,238099711
291362,tt3110770,Road Hard,Road Hard,Road Hard,98.0,Comedy,[35],6.1,1681,2015-03-06,2015-03-06,6.6,12,1.08,113169,1500000,113169
291805,tt3110958,Now You See Me 2,Now You See Me 2,Now You See Me 2,129.0,"Action,Adventure,Comedy","[28, 35, 53]",6.5,216219,2016-06-10,2016-06-10,6.8,6744,25.805,65075540,90000000,328325007
433715,tt3111864,8 Days,8 Days,8 Days,90.0,"Drama,Thriller","[53, 18]",5.0,102,2015-10-13,2014-06-15,8.0,2,0.84,0,2500000,0
241771,tt3125324,Beyond the Lights,Beyond the Lights,Beyond the Lights,116.0,"Drama,Music,Romance","[10749, 18]",6.9,14122,2014-11-14,2014-11-14,7.0,238,7.7170000000000005,14618727,7000000,14618727
323271,tt3139764,Unsullied,Unsullied,Unsullied,93.0,"Action,Horror,Thriller","[53, 28, 27]",4.3,278,2016-04-22,2015-08-28,3.3,3,2.478,510957,1500000,510957
242083,tt3145220,Hits,Hits,Hits,96.0,"Comedy,Drama","[18, 35]",5.8,1706,2015-02-13,2014-01-21,5.0,36,5.5120000000000005,15156,1000000,15156
277607,tt3149360,Lucky Dog,Lucky Dog,Lucky Dog,88.0,Family,[],5.4,49,2014-12-31,2014-01-01,4.0,1,0.628,0,2000000,0
380733,tt3152288,Fight to the Finish,Fight to the Finish,Fight to the Finish,94.0,"Action,Romance,Sport","[10749, 28]",3.6,109,2015-12-31,2016-02-02,5.2,3,0.6,0,500000,0
271718,tt3152624,Trainwreck,Trainwreck,Trainwreck,125.0,"Comedy,Drama,Romance","[35, 10749]",6.2,121860,2015-07-17,2015-07-17,5.8,1731,18.423,110212700,35000000,141123897
326576,tt3157318,Dawn of the Crescent Moon,Dawn of the Crescent Moon,Dawn of the Crescent Moon,95.0,"Drama,Sci-Fi,Thriller","[53, 18, 878]",5.1,42,2015-07-17,2014-04-05,2.0,1,1.4,8799,75000,8799
253414,tt3164256,Rock the Kasbah,Rock the Kasbah,Rock the Kasbah,106.0,"Comedy,Music,War","[35, 10402, 10752]",5.5,9587,2015-10-23,2015-10-23,5.5,154,5.202999999999999,3020665,15000000,3386153
264644,tt3170832,Room,Room,Room,118.0,"Drama,Thriller","[18, 53]",8.2,316791,2015-10-16,2015-10-16,8.1,5494,20.0,14677674,13000000,36262783
250124,tt3172532,The Diary of a Teenage Girl,The Diary of a Teenage Girl,The Diary of a Teenage Girl,102.0,"Comedy,Drama,Romance","[18, 10749]",6.9,27003,2015-08-07,2015-08-28,6.7,460,9.382,1477002,2000000,2279959
241251,tt3181822,The Boy Next Door,The Boy Next Door,The Boy Next Door,91.0,"Horror,Thriller",[53],4.7,34816,2015-01-23,2015-01-23,4.4,1382,7.062,36006065,4000000,53401938
403390,tt3182620,Bitter Harvest,Bitter Harvest,Bitter Harvest,103.0,"Drama,Romance,War","[10752, 18, 36, 10749]",6.1,3057,2017-02-24,2017-02-24,6.2,42,5.489,557241,21000000,606162
259316,tt3183660,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,132.0,"Adventure,Family,Fantasy","[12, 10751, 14]",7.3,365353,2016-11-18,2016-11-18,7.4,12152,28.563000000000002,234037575,180000000,802402853
438467,tt3202120,Barbecue,Barbecue,Barbecue,98.0,Comedy,[99],6.1,2301,2014-12-26,2017-03-10,7.5,13,0.7759999999999999,388,10000000,247565
438467,tt6090268,Barbecue,Barbecue,Barbecue,102.0,Documentary,[99],6.5,356,2014-12-26,2017-03-10,7.5,13,0.7759999999999999,388,10000000,247565
332411,tt3212232,I Am Wrath,I Am Wrath,I Am Wrath,92.0,"Action,Crime,Drama","[28, 80, 18, 53]",5.4,11198,2016-04-15,2016-05-13,4.9,296,9.558,0,18000000,309608
241258,tt3216348,Incarnate,Incarnate,Incarnate,91.0,"Horror,Thriller","[27, 53]",5.3,10217,2016-12-02,2016-12-02,5.2,314,7.1370000000000005,4799774,5000000,9371036
270303,tt3235888,It Follows,It Follows,It Follows,100.0,"Horror,Mystery","[27, 53]",6.9,182839,2015-03-13,2015-03-27,6.5,3485,18.419,14674077,2000000,23250755
380121,tt3253232,The Bounce Back,The Bounce Back,The Bounce Back,104.0,"Comedy,Romance",[10749],5.0,492,2016-12-09,2016-02-26,6.1,31,2.494,321910,3000000,421404
295886,tt3262990,Brotherly Love,Brotherly Love,Brotherly Love,89.0,Drama,[18],6.7,1587,2015-04-24,2015-04-24,6.8,53,2.157,478595,1900000,478595
295886,tt6096190,Brotherly Love,Brotherly Love,Brotherly Love,118.0,Drama,[18],5.8,48,2015-04-24,2015-04-24,6.8,53,2.157,478595,1900000,478595
363676,tt3263904,Sully,Sully,Sully,96.0,"Biography,Drama","[18, 36]",7.5,202718,2016-09-09,2016-09-09,7.1,3924,18.148,125070033,60000000,238524556
26222,tt3276924,Heist,Heist,Heist,93.0,"Action,Crime,Thriller","[28, 80]",6.1,24740,2015-11-13,2010-02-09,5.0,1,0.6,50136,8900000,3324131
26222,tt5112932,Heist,Heist,Heist,47.0,Action,"[28, 80]",6.4,5,2015-11-13,2010-02-09,5.0,1,0.6,50136,8900000,3324131
320146,tt3277624,Creative Control,Creative Control,Creative Control,97.0,"Drama,Sci-Fi","[18, 878]",5.4,1951,2016-03-11,2016-03-11,5.6,36,3.35,63014,1000000,63014
351044,tt3289724,Welcome to Marwen,Welcome to Marwen,Welcome to Marwen,116.0,"Biography,Comedy,Drama","[18, 35, 14]",6.1,8920,2018-12-21,2018-12-21,6.6,286,22.031999999999996,10763520,45000000,12874922
267860,tt3300542,London Has Fallen,London Has Fallen,London Has Fallen,99.0,"Action,Thriller","[28, 53]",5.9,124757,2016-03-04,2016-03-04,5.9,2591,15.287,62524260,60000000,195194085
